foreign1,foreign2,definitions,level
生地,きじ,cloth; fabric; material; texture / dough; batter / inherent quality; one's true character; one's true colours / unglazed pottery / skin with no make-up,JLPT N-3
節約,せつやく,economising; saving,JLPT N-3
注,ちゅう,annotation; explanatory note; comment,JLPT N-3
駐車,ちゅうしゃ,parking (e.g. car),JLPT N-3
笛,ふえ,flute; fife; pipe; recorder; flageolet; shakuhachi; clarinet / whistle,JLPT N-3
刀,かたな,(single-edged) sword; katana / dagger; knife / scalpel / chisel; burin; graver / knife money; knife-shaped commodity money used in Zhou dynasty China,JLPT N-3
飛び出す,とびだす,to jump out; to rush out; to fly out / to appear (suddenly) / to protrude; to project / to butt in,JLPT N-3
歩道,ほどう,footpath; walkway; sidewalk,JLPT N-3
方,ほう,"direction; way; side; area (in a particular direction) / side (of an argument, etc.); one's part / type; category / field (of study, etc.) / indicates one side of a comparison / way; method; manner; means / length (of each side of a square)",JLPT N-3
望む,のぞむ,to desire / to wish for; to expect / to see; to command (a view of),JLPT N-3
要するに,ようするに,in short; in a word; to sum up; to put it simply; to make a long story short; after all,JLPT N-3
嵐,あらし,storm; tempest / storm; hullaballoo; uproar; winds (e.g. of change),JLPT N-3
行き,ゆき,the way there; outbound leg; outbound trip; departing leg / bound for ... / outbound ticket,JLPT N-3
扱う,あつかう,to deal with (a person); to treat; to handle; to take care of; to entertain / to deal with (a problem); to handle; to manage / to operate (e.g. a machine); to handle; to work / to deal in; to sell / to cover (a topic); to treat; to discuss; to take up / to treat A as B / to mediate (an argument) / to be too much for one; to find unmanageable / to gossip,JLPT N-3
移す,うつす,"to change; to swap; to substitute; to transfer / to change the object of one's interest or focus / to spend or take time / to infect / to permeate something with the smell or colour of something / to move on to the next or different stage of (a plan, etc.)",JLPT N-3
衣服,いふく,clothes,JLPT N-3
楽,らく,comfort; ease / raku pottery,JLPT N-3
掲示,けいじ,notice; bulletin; post; posting; placard,JLPT N-3
迎え,むかえ,meeting; greeting; welcome,JLPT N-3
食欲,しょくよく,appetite (for food),JLPT N-3
真っ赤,まっか,bright red; deep red; flushed (of face) / downright (e.g. lie); complete; utter,JLPT N-3
診察,しんさつ,medical examination,JLPT N-3
生き物,いきもの,living thing; animal,JLPT N-3
前者,ぜんしゃ,the former,JLPT N-3
双子,ふたご,twins; twin,JLPT N-3
